%% ****  Testsuite  ****
% Number of tests                  : 500
% Number of machines               : 50
% Number of resources              : 5
% Number of families               : 1
% Prob that a test use a resource  : 30%
% Minimum test duration            : 1
% Maximim test duration            : 800
% MPri                             : 40%

test( 't1', 396, ['m39','m16','m27','m15','m21','m25','m46','m35','m1','m48'], [],  1 ).
test( 't2', 523, [], [],  1 ).
test( 't3', 632, [], ['r2','r4'],  1 ).
test( 't4', 365, [], [],  1 ).
test( 't5', 262, [], [],  1 ).
test( 't6', 546, [], [],  1 ).
test( 't7', 555, [], [],  1 ).
test( 't8', 705, [], ['r2'],  1 ).
test( 't9', 421, [], [],  1 ).
test( 't10', 200, [], ['r5'],  1 ).
test( 't11', 144, [], [],  1 ).
test( 't12', 653, [], ['r4'],  1 ).
test( 't13', 583, [], [],  1 ).
test( 't14', 249, [], [],  1 ).
test( 't15', 714, [], [],  1 ).
test( 't16', 391, [], [],  1 ).
test( 't17', 783, [], ['r1','r4','r5','r3'],  1 ).
test( 't18', 463, [], [],  1 ).
test( 't19', 57, [], [],  1 ).
test( 't20', 563, ['m12','m40','m15','m10','m41','m6','m19','m45','m25'], [],  1 ).
test( 't21', 129, [], ['r3','r5','r4','r1'],  1 ).
test( 't22', 38, [], [],  1 ).
test( 't23', 589, [], [],  1 ).
test( 't24', 475, [], [],  1 ).
test( 't25', 245, [], [],  1 ).
test( 't26', 677, ['m43','m40'], [],  1 ).
test( 't27', 194, [], ['r5','r2','r4','r3','r1'],  1 ).
test( 't28', 262, [], [],  1 ).
test( 't29', 193, [], ['r5'],  1 ).
test( 't30', 616, [], ['r1','r3','r5','r4'],  1 ).
test( 't31', 744, ['m37','m13','m12','m45','m32','m15','m26','m30','m50','m6','m48','m40','m21','m39','m36','m22','m1','m43'], [],  1 ).
test( 't32', 511, [], ['r1'],  1 ).
test( 't33', 552, [], [],  1 ).
test( 't34', 38, [], [],  1 ).
test( 't35', 760, [], [],  1 ).
test( 't36', 321, [], [],  1 ).
test( 't37', 670, [], [],  1 ).
test( 't38', 118, [], ['r3','r1'],  1 ).
test( 't39', 485, [], [],  1 ).
test( 't40', 480, [], [],  1 ).
test( 't41', 560, ['m26','m1','m18','m45','m33','m3','m25'], [],  1 ).
test( 't42', 195, [], [],  1 ).
test( 't43', 151, [], [],  1 ).
test( 't44', 480, ['m4','m37','m2','m25','m32','m13'], [],  1 ).
test( 't45', 645, [], [],  1 ).
test( 't46', 63, [], ['r5','r3'],  1 ).
test( 't47', 401, [], [],  1 ).
